stock_name,ts_code,case_year,theme,case_type,source_title,source_url,source_date,source_type,source_confidence,approximate_start_date,approximate_end_date,source_note,article_id
上纬新材,688585.SH,2025,新材料,continuous_limit_up,2025题材股线索示例A,https://example.com/article/2025-01,2025-04-18,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_001
天普股份,605255.SH,2025,新材料,continuous_limit_up,2025题材股线索示例A,https://example.com/article/2025-01,2025-04-18,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_001
胜宏科技,300476.SZ,2025,新材料,continuous_limit_up,2025题材股线索示例A,https://example.com/article/2025-01,2025-04-18,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_001
*ST信通,600289.SH,2025,重组,weak_to_strong,2025题材股线索示例B,https://example.com/article/2025-02,2025-05-08,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_002
冀东装备,000856.SZ,2025,重组,weak_to_strong,2025题材股线索示例B,https://example.com/article/2025-02,2025-05-08,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_002
国芳集团,601086.SH,2025,重组,weak_to_strong,2025题材股线索示例B,https://example.com/article/2025-02,2025-05-08,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_002
金安国纪,002636.SZ,2025,重组,weak_to_strong,2025题材股线索示例B,https://example.com/article/2025-02,2025-05-08,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_002
连云港,601008.SH,2025,港口,weak_to_strong,2025地产港口线索示例,https://example.com/article/2025-03,2025-05-28,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_003
首开股份,600376.SH,2025,港口,weak_to_strong,2025地产港口线索示例,https://example.com/article/2025-03,2025-05-28,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_003
泰慕士,001234.SZ,2025,港口,weak_to_strong,2025地产港口线索示例,https://example.com/article/2025-03,2025-05-28,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_003
兴业股份,603928.SH,2025,港口,weak_to_strong,2025地产港口线索示例,https://example.com/article/2025-03,2025-05-28,manual_search_result,0.55,2024-01-01,2026-05-13,placeholder article seed,art_2025_003
华电能源,600726.SH,2026,电力,continuous_limit_up,2026阶段线索示例,https://example.com/article/2026-01,2026-05-10,manual_search_result,0.5,2024-01-01,2026-05-13,placeholder article seed,art_2026_001
金螳螂,002081.SZ,2026,电力,continuous_limit_up,2026阶段线索示例,https://example.com/article/2026-01,2026-05-10,manual_search_result,0.5,2024-01-01,2026-05-13,placeholder article seed,art_2026_001
华电能源,600726.SH,2026,,one_day_pump,华电能源2026年3月30日跌停分析,https://finance.sina.com.cn/stock/aiassist/ydfx/2026-03-30/doc-inhstpie9822740.shtml,2026-03-30,sina,0.6,2024-01-01,2026-05-13,Seeded from Sina AI assist event page; lower confidence.,backfill_0075
金螳螂,002081.SZ,2026,,one_day_pump,金螳螂股价12天暴涨61%后单日跌4.76%：商业航天仅占不足1%，引发情绪退潮,https://finance.sina.com.cn/stock/csjzbj/2026-05-08/doc-inhxfamx2077891.shtml,2026-05-08,sina,0.7,2024-01-01,2026-05-13,Seeded from Sina Finance article.,backfill_0076
克来机电,603960.SH,2024,,failed_reversal,13连板克来机电再提示风险 不排除部分投资者借概念炒作可能,https://www.stcn.com/article/detail/1131102.html,2024-02-27,stcn,0.78,2024-01-01,2026-05-13,Seeded from Securities Times public article.,backfill_0047
银之杰,300085.SZ,2024,,high_open_low_close_failure,互联网金融板块震荡走低，银之杰跌停,https://finance.sina.com.cn/jjxw/2024-10-10/doc-incrzpza8792225.shtml,2024-10-10,sina,0.7,2024-01-01,2026-05-13,Seeded from Sina Finance / Jiemian relayed news.,backfill_0052
大众交通,600611.SH,2024,,high_open_low_close_failure,智能网联汽车带飞股价，大众交通涨超245%，多只牛股“泼冷水”,https://finance.sina.com.cn/stock/stockzmt/2024-07-31/doc-incfzpyw6944565.shtml,2024-07-31,sina,0.7,2024-01-01,2026-05-13,Seeded from Sina Finance stock article.,backfill_0053
胜宏科技,300476.SZ,2025,,high_open_low_close_failure,胜宏科技：AI服务器需求引爆PCB行情，明日或将考验筹码密集区 - 股票复盘网,https://www.fupanwang.com/dsk/300476/2025-04-10.html,2025-04-10,public_article,0.6,2024-01-01,2026-05-13,Seeded from public recap article; use as clue only.,backfill_0073
金安国纪,002636.SZ,2025,,high_open_low_close_failure,PCB概念冲高回落 金安国纪跌停,https://www.stcn.com/article/detail/1507028.html,2025-01-23,stcn,0.78,2024-01-01,2026-05-13,Seeded from Securities Times public article.,backfill_0074
深中华A,000017.SZ,2024,,high_open_low_close_failure,12连板未果 深中华A炒作“熄火”,https://finance.sina.com.cn/jjxw/2024-01-24/doc-inaervuw1980226.shtml,2024-01-24,sina,0.7,2024-01-01,2026-05-13,Seeded from Sina Finance relayed article.,backfill_0054
泰慕士,001234.SZ,2025,,a_kill_failure,泰慕士盘中上演“天地板” 此前连续5日涨停,https://www.stcn.com/article/detail/3350602.html,2025-09-22,stcn,0.78,2024-01-01,2026-05-13,Seeded from Securities Times public article.,backfill_0059
深圳华强,000062.SZ,2024,,a_kill_failure,跌停！深圳华强再发风险提示,https://stcn.com/live/video-detail/4839.html,2024-09-09,stcn,0.78,2024-01-01,2026-05-13,Seeded from Securities Times live article.,backfill_0041
*ST信通,600289.SH,2025,,a_kill_failure,*ST信通即将复牌！整改未完成将被退市 仅剩2个月！上交所、投服中心出手,https://finance.sina.com.cn/roll/2025-01-12/doc-ineetfvt3698788.shtml,2025-01-12,sina,0.7,2024-01-01,2026-05-13,Seeded from Sina Finance article.,backfill_0060
冀东装备,000856.SZ,2025,,a_kill_failure,机器人概念大幅下挫 冀东装备等多股跌停,https://finance.sina.com.cn/roll/2025-01-27/doc-inehkprf8984455.shtml,2025-01-27,sina,0.7,2024-01-01,2026-05-13,Seeded from Sina Finance / CLS relayed news.,backfill_0063
金螳螂,002081.SZ,2026,,one_day_pump,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.7,2024-01-01,2026-05-13,User-supplied Tencent recap; contains 金螳螂 15天11板 line.,backfill_0076
克来机电,603960.SH,2024,,failed_reversal,2024年月度“妖股”出炉！按这份名单买,https://finance.china.com/jinrong/13004689/20241231/47812601.html,2024-12-31,china_com,0.6,2024-01-01,2026-05-13,User-supplied recap source; maps to 克来机电 as 2024 monthly monster-stock case.,backfill_0047
大众交通,600611.SH,2024,,high_open_low_close_failure,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-10,wallstreetcn,0.72,2024-01-01,2026-05-13,User-supplied WallstreetCN recap; maps to 大众交通 high-risk collapse context.,backfill_0053
大众交通,600611.SH,2024,,a_kill_failure,大众交通跌停，上榜营业部合计净买入1401.10万元,https://www.stcn.com/article/detail/1318307.html,2024-09-12,stcn,0.78,2024-01-01,2026-05-13,Securities Times public article; maps to 大众交通 high-level risk / A-kill context.,backfill_0040
胜宏科技,300476.SZ,2025,,high_open_low_close_failure,2025年A股十大牛股：上纬新材暴涨超18倍，天普股份、海博思创均涨超1200%,https://finance.sina.com.cn/stock/bxjj/2025-12-31/doc-inhesten3689580.shtml,2025-12-31,sina,0.7,2024-01-01,2026-05-13,Sina recap mentioning 胜宏科技 among 2025 top gainers.,backfill_0073
金安国纪,002636.SZ,2025,,high_open_low_close_failure,金安国纪跌停，龙虎榜上机构买入489.25万元，卖出2937.63万元,https://www.stcn.com/article/detail/3475904.html,2025-11-03,stcn,0.78,2024-01-01,2026-05-13,Securities Times public article; maps to 金安国纪 failure/risk context.,backfill_0074
深中华A,000017.SZ,2024,,high_open_low_close_failure,深中华A躁动：经营业绩惨淡，重整预期撬动11连板,https://finance.sina.com.cn/roll/2024-01-23/doc-inaepnqf7304314.shtml,2024-01-23,sina,0.7,2024-01-01,2026-05-13,Sina relay of 21st Century report; maps to 深中华A high-open/late-jump risk context.,backfill_0054
英力股份,300956.SZ,2024,,one_day_pump,英力股份5月21日龙虎榜数据,https://finance.sina.com.cn/stock/relnews/cn/2024-05-21/doc-inavyuwn6684888.shtml,2024-05-21,sina,0.7,2024-01-01,2026-05-13,Sina relay of Securities Times data article; maps to 英力股份 20cm hot-money phase.,backfill_0055
泰慕士,001234.SZ,2025,,a_kill_failure,【焦点复盘】科创50一度涨逾5%创近4年新高，全市场超百股 ...,https://wap.eastmoney.com/a/202509243522555271.html,2025-09-24,eastmoney,0.68,2024-01-01,2026-05-13,User-supplied Eastmoney recap; maps to 泰慕士 /高位承压 line.,backfill_0059
深圳华强,000062.SZ,2024,,a_kill_failure,"最牛""妖股""深圳华强熄火，""拉萨天团""集体闯入，知名游资却在""散货""",https://wallstreetcn.com/livenews/2784351,2024-09-10,wallstreetcn,0.72,2024-01-01,2026-05-13,WallstreetCN live note; maps to 深圳华强 post-climax risk.,backfill_0041
*ST信通,600289.SH,2025,,a_kill_failure,一季度十大牛股出炉！榜首竟是......,https://finance.sina.com.cn/roll/2025-03-31/doc-inerpywn3800538.shtml,2025-03-31,sina,0.7,2024-01-01,2026-05-13,Sina recap mentioning *ST信通 as top Q1 mover; clue for high-risk ST dragon context.,backfill_0060
首开股份,600376.SH,2025,,a_kill_failure,焦点复盘沪指冲高回落跌0.3%，高位抱团人气股遭遇批量瓦解,https://finance.sina.com.cn/roll/2025-09-19/doc-infqzqqi7881837.shtml,2025-09-19,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina recap; contains 首开股份准天地板/高位风险 context.,backfill_0066
中化岩土,002542.SZ,2024,高位分化,failed_second_wave,【焦点复盘】爆量回吐！沪指高开低走3500点得而复失,https://www.cls.cn/detail/1853142,2024-11-08,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap with multiple high-level failure and weak-rebound cases.,art_cls_2024_1853142
华映科技,000536.SZ,2024,高位分化,failed_second_wave,【焦点复盘】爆量回吐！沪指高开低走3500点得而复失,https://www.cls.cn/detail/1853142,2024-11-08,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap with multiple high-level failure and weak-rebound cases.,art_cls_2024_1853142
华夏幸福,600340.SH,2024,高位分化,failed_second_wave,【焦点复盘】爆量回吐！沪指高开低走3500点得而复失,https://www.cls.cn/detail/1853142,2024-11-08,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap with multiple high-level failure and weak-rebound cases.,art_cls_2024_1853142
海航控股,600221.SH,2024,高位分化,failed_second_wave,【焦点复盘】爆量回吐！沪指高开低走3500点得而复失,https://www.cls.cn/detail/1853142,2024-11-08,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap with multiple high-level failure and weak-rebound cases.,art_cls_2024_1853142
双成药业,002693.SZ,2024,高位分化,failed_second_wave,【焦点复盘】爆量回吐！沪指高开低走3500点得而复失,https://www.cls.cn/detail/1853142,2024-11-08,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap with multiple high-level failure and weak-rebound cases.,art_cls_2024_1853142
人民同泰,600829.SH,2025,高位退潮,a_kill_failure,【焦点复盘】沪指放量长阴失守3900点,https://www.cls.cn/detail/2207484,2025-11-21,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap focused on consecutive limit-down and post-reopen failure cases.,art_cls_2025_2207484
九牧王,601566.SH,2025,高位退潮,a_kill_failure,【焦点复盘】沪指放量长阴失守3900点,https://www.cls.cn/detail/2207484,2025-11-21,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap focused on consecutive limit-down and post-reopen failure cases.,art_cls_2025_2207484
平潭发展,000592.SZ,2025,高位退潮,a_kill_failure,【焦点复盘】沪指放量长阴失守3900点,https://www.cls.cn/detail/2207484,2025-11-21,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap focused on consecutive limit-down and post-reopen failure cases.,art_cls_2025_2207484
海峡创新,300300.SZ,2025,高位退潮,a_kill_failure,【焦点复盘】沪指放量长阴失守3900点,https://www.cls.cn/detail/2207484,2025-11-21,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS recap focused on consecutive limit-down and post-reopen failure cases.,art_cls_2025_2207484
嘉美包装,002969.SZ,2025,商业航天,failed_second_wave,【焦点复盘】银行等权重板块护盘，沪指追平日线连阳历史纪录,https://www.cls.cn/detail/2245628,2025-12-31,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS year-end recap with mixed failure and reversal outcomes.,art_cls_2025_2245628
神剑股份,002361.SZ,2025,商业航天,failed_second_wave,【焦点复盘】银行等权重板块护盘，沪指追平日线连阳历史纪录,https://www.cls.cn/detail/2245628,2025-12-31,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS year-end recap with mixed failure and reversal outcomes.,art_cls_2025_2245628
中国卫星,600118.SH,2025,商业航天,failed_second_wave,【焦点复盘】银行等权重板块护盘，沪指追平日线连阳历史纪录,https://www.cls.cn/detail/2245628,2025-12-31,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS year-end recap with mixed failure and reversal outcomes.,art_cls_2025_2245628
合兴包装,002228.SZ,2025,商业航天,failed_second_wave,【焦点复盘】银行等权重板块护盘，沪指追平日线连阳历史纪录,https://www.cls.cn/detail/2245628,2025-12-31,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS year-end recap with mixed failure and reversal outcomes.,art_cls_2025_2245628
鹭燕医药,002788.SZ,2025,商业航天,failed_second_wave,【焦点复盘】银行等权重板块护盘，沪指追平日线连阳历史纪录,https://www.cls.cn/detail/2245628,2025-12-31,cls,0.82,2024-01-01,2026-05-13,User-supplied CLS year-end recap with mixed failure and reversal outcomes.,art_cls_2025_2245628
海南海药,000566.SZ,2024,高位连板亏钱效应,a_kill_failure,【焦点复盘】沪指午后绝地反击重返2700点,https://wap.eastmoney.com/a/202409183184848754.html,2024-09-18,eastmoney,0.68,2024-01-01,2026-05-13,User-supplied Eastmoney focus recap mentioning high-level loss-spreading case.,art_eastmoney_2024_0918
新亚制程,002388.SZ,2024,强势股A杀,a_kill_failure,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-11,wallstreetcn,0.72,2024-01-01,2026-05-13,User-supplied WallstreetCN recap covering A-kill and reversal examples.,art_wscn_2024_0911
好上好,001298.SZ,2024,强势股A杀,a_kill_failure,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-11,wallstreetcn,0.72,2024-01-01,2026-05-13,User-supplied WallstreetCN recap covering A-kill and reversal examples.,art_wscn_2024_0911
老百姓,603883.SH,2024,强势股A杀,a_kill_failure,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-11,wallstreetcn,0.72,2024-01-01,2026-05-13,User-supplied WallstreetCN recap covering A-kill and reversal examples.,art_wscn_2024_0911
阳普医疗,300030.SZ,2024,强势股A杀,a_kill_failure,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-11,wallstreetcn,0.72,2024-01-01,2026-05-13,User-supplied WallstreetCN recap covering A-kill and reversal examples.,art_wscn_2024_0911
天茂集团,000627.SZ,2024,强势股A杀,a_kill_failure,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-11,wallstreetcn,0.72,2024-01-01,2026-05-13,User-supplied WallstreetCN recap covering A-kill and reversal examples.,art_wscn_2024_0911
保变电气,600550.SH,2024,强势股A杀,a_kill_failure,A股五张图：加速“A字杀”,https://wallstreetcn.com/articles/3727694,2024-09-11,wallstreetcn,0.72,2024-01-01,2026-05-13,User-supplied WallstreetCN recap covering A-kill and reversal examples.,art_wscn_2024_0911
金螳螂,002081.SZ,2026,绿电,second_wave,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.7,2024-01-01,2026-05-13,User-supplied Tencent recap expanding 2026 high-beta cases and 15天11板 line.,art_2026_tencent_0512
华电辽能,600396.SH,2026,绿电,second_wave,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.7,2024-01-01,2026-05-13,User-supplied Tencent recap expanding 2026 high-beta cases and 15天11板 line.,art_2026_tencent_0512
大唐发电,601991.SH,2026,绿电,second_wave,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.7,2024-01-01,2026-05-13,User-supplied Tencent recap expanding 2026 high-beta cases and 15天11板 line.,art_2026_tencent_0512
通鼎互联,002491.SZ,2026,绿电,second_wave,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.7,2024-01-01,2026-05-13,User-supplied Tencent recap expanding 2026 high-beta cases and 15天11板 line.,art_2026_tencent_0512
宝鼎科技,002552.SZ,2026,绿电,second_wave,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.7,2024-01-01,2026-05-13,User-supplied Tencent recap expanding 2026 high-beta cases and 15天11板 line.,art_2026_tencent_0512
蒙娜丽莎,002918.SZ,2026,绿电,second_wave,涨停复盘：连板高标疯了！华电辽能19天10板,https://news.qq.com/rain/a/20260512A07K0H00,2026-05-12,news,0.7,2024-01-01,2026-05-13,User-supplied Tencent recap expanding 2026 high-beta cases and 15天11板 line.,art_2026_tencent_0512
金螳螂,002081.SZ,2026,连板梯队,second_wave,连板股晋级率36% 金螳螂走出15天11板今日共57股涨停,https://www.sina.cn/news/detail/5297802772221257.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina line-up recap with 金螳螂 and lower-tier follow-up names.,art_2026_sina_2772257
康欣新材,600076.SH,2026,连板梯队,second_wave,连板股晋级率36% 金螳螂走出15天11板今日共57股涨停,https://www.sina.cn/news/detail/5297802772221257.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina line-up recap with 金螳螂 and lower-tier follow-up names.,art_2026_sina_2772257
京投发展,600683.SH,2026,连板梯队,second_wave,连板股晋级率36% 金螳螂走出15天11板今日共57股涨停,https://www.sina.cn/news/detail/5297802772221257.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina line-up recap with 金螳螂 and lower-tier follow-up names.,art_2026_sina_2772257
远东股份,600869.SH,2026,连板梯队,second_wave,连板股晋级率36% 金螳螂走出15天11板今日共57股涨停,https://www.sina.cn/news/detail/5297802772221257.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina line-up recap with 金螳螂 and lower-tier follow-up names.,art_2026_sina_2772257
康欣新材,600076.SH,2026,连板梯队,continuous_limit_up,A股连板情况分析,https://www.sina.cn/news/detail/5297854446829733.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina recap with 2026连板/弱转强扩散样本.,art_2026_sina_446829733
京投发展,600683.SH,2026,连板梯队,continuous_limit_up,A股连板情况分析,https://www.sina.cn/news/detail/5297854446829733.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina recap with 2026连板/弱转强扩散样本.,art_2026_sina_446829733
上峰水泥,000672.SZ,2026,连板梯队,continuous_limit_up,A股连板情况分析,https://www.sina.cn/news/detail/5297854446829733.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina recap with 2026连板/弱转强扩散样本.,art_2026_sina_446829733
深深房A,000029.SZ,2026,连板梯队,continuous_limit_up,A股连板情况分析,https://www.sina.cn/news/detail/5297854446829733.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina recap with 2026连板/弱转强扩散样本.,art_2026_sina_446829733
双枪科技,001211.SZ,2026,连板梯队,continuous_limit_up,A股连板情况分析,https://www.sina.cn/news/detail/5297854446829733.html,2026-05-12,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina recap with 2026连板/弱转强扩散样本.,art_2026_sina_446829733
钧达股份,002865.SZ,2026,主线梯队,continuous_limit_up,连板梯队晋级排行榜,https://www.sina.cn/news/detail/5297443839148373.html,2026-05-08,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina recap for 2026主线候选扩散。,art_2026_sina_3839148373
泰晶科技,603738.SH,2026,主线梯队,continuous_limit_up,连板梯队晋级排行榜,https://www.sina.cn/news/detail/5297443839148373.html,2026-05-08,sina,0.7,2024-01-01,2026-05-13,User-supplied Sina recap for 2026主线候选扩散。,art_2026_sina_3839148373
